"count_yr","long","lat","sum_count"
"1965","-81.6857886889302","28.2280951515721","423"
"1966","-81.7018134118902","28.4723433169573","537"
"1967","-81.3320576435811","27.2631354374929","222"
"1968","-81.8012096828885","28.0593555619982","225"
"1969","-81.9476521387799","28.9870917661886","723"
"1970","-82.1027553534458","29.0458424932524","958"
"1971","-82.0571302647861","29.1458298530219","848"
"1972","-82.1956615898553","29.2527575999733","1016"
"1973","-82.3006089518097","29.3886820037322","1234"
"1974","-81.824175044608","28.9384305223765","781"
"1975","-81.7951474359082","28.9912790099643","873"
"1976","-81.9891083677793","29.1310876169512","1085"
"1977","-82.0722725446834","28.6957075043805","989"
"1978","-81.8254364624764","28.6891448127413","824"
"1979","-81.6549938359733","28.8252420715761","1281"
"1980","-81.8291394618169","28.8181944063197","955"
"1981","-82.2447924071747","29.2391397109321","1882"
"1982","-81.8267946375946","28.5400222147451","1294"
"1983","-82.1693669787366","29.5757219990182","2267"
"1984","-82.2408309481037","29.3032659746182","2345"
"1985","-82.1755292991112","29.0193605842261","2320"
"1986","-82.2297499219516","29.3859433132293","2644"
"1987","-82.112127738216","29.2829617027523","3998"
"1988","-82.0951659629561","28.9947387645935","3013"
"1989","-82.2565663768604","29.3538026372439","4951"
"1990","-82.4014915739429","29.7781376306369","4246"
"1991","-82.614579323098","30.4543875976498","8948"
"1992","-82.3462958258918","29.7088727591104","7869"
"1993","-82.4719617885069","29.7549676138158","9159"
"1994","-83.6481334148437","32.6630346535836","10724"
"1995","-83.4999697538545","32.2083608706256","9641"
"1996","-83.1738234156065","31.4806237902158","13793"
"1997","-83.4771185011603","32.3162456188656","13407"
"1998","-85.2686503586015","36.5261206127385","19961"
"1999","-84.5967157373026","34.3474059433231","22759"
"2000","-83.3073082172172","31.523491512373","23233"
"2001","-84.2399817401501","34.5284067031449","21490"
"2002","-84.0551760338541","32.8894297089113","24404"
"2003","-84.4936556345062","34.1951990788401","37911"
"2004","-83.9911155710095","33.4496490565219","32426"
"2005","-84.39568234815","33.3609246900885","34260"
"2006","-83.7424678506375","32.818272438741","26087"
"2007","-83.7665569074614","32.909747932015","27998"
"2008","-84.0197082381102","32.3755724289565","32848"
"2009","-84.0997327734565","33.3349838596994","38746"
"2010","-84.0015327309776","32.4740843168447","40683"
"2011","-85.1307951097155","35.7213976286735","55827"
"2012","-85.372156079189","35.448119814243","46194"
