count_yr,long,lat,sum_count,wstdev_long,wstdev_lat
1966,-81.87935691,28.29498637,423,0.938496825,1.306228192
1967,-81.85424217,28.52546336,537,0.939095799,1.315059609
1968,-81.700076,27.38649804,222,1.039343071,0.858936599
1969,-82.16639365,28.18462054,225,1.935079437,2.278954645
1970,-82.06115304,29.02724009,723,0.81169093,1.190855297
1971,-82.18854716,29.07619343,958,0.548132574,1.183349484
1972,-82.15400999,29.18024051,848,0.602464441,0.990965396
1973,-82.27664254,29.28157805,1016,0.45938473,1.062318348
1974,-82.36735722,29.41251711,1234,0.855665993,0.968390423
1975,-81.92907783,28.97553107,781,0.770301776,1.224160443
1976,-81.88894921,29.02452589,873,0.914915824,0.978733638
1977,-82.06474408,29.15796131,1085,1.4889157,1.122533101
1978,-82.15534165,28.72475174,989,1.535267176,1.040966037
1979,-81.92485984,28.72400404,824,1.101297411,0.939407343
1980,-81.7187868,28.84776179,1281,1.032439073,0.960454868
1981,-81.91491424,28.84840216,955,0.874906317,1.149124838
1982,-82.28851638,29.25468418,1882,0.737325779,0.797926751
1983,-81.89007909,28.56209493,1294,0.882181398,1.048860471
1984,-82.20562884,29.58877395,2267,1.422476094,2.136602455
1985,-82.27591663,29.31576737,2345,1.212855928,1.64036192
1986,-82.21096506,29.03187432,2320,1.117672139,1.264611182
1987,-82.2608622,29.39706172,2644,1.159131772,1.628029521
1988,-82.13267118,29.29028794,3998,1.237401702,2.026250273
1989,-82.12242199,29.00436517,3013,1.20686443,1.837482072
1990,-82.27318387,29.3597327,4951,1.172410903,1.981845917
1991,-82.420903,29.7851525,4246,1.44092245,3.11420353
1992,-82.6238131,30.45779146,8948,1.273019443,2.773302564
1993,-82.3567618,29.71264867,7869,1.239895853,2.711934598
1994,-82.48096724,29.75821668,9159,1.387103904,2.419588722
1995,-83.65593423,32.66608073,10724,1.696074897,3.956327363
1996,-83.50863158,32.21170199,9641,1.747806982,3.564574596
1997,-83.179854,31.48290632,13793,1.774562787,4.024071757
1998,-83.48334535,32.3186562,13407,1.662768007,3.597495249
1999,-85.27292234,36.52795058,19961,2.569024431,5.559958967
2000,-84.60043297,34.34891519,22759,2.705387655,5.187952365
2001,-83.3108941,31.52484841,23233,1.949924325,3.399390301
2002,-84.24390188,34.5300135,21490,1.609189704,3.946420253
2003,-84.05862049,32.89077747,24404,2.176740599,3.388687488
2004,-84.49588443,34.19610109,37911,2.066609434,3.976811444
2005,-83.99370589,33.45068066,32426,1.7798909,3.88616965
2006,-84.39814581,33.36189848,34260,2.14225068,3.17941589
2007,-83.7456781,32.81953052,26087,2.034988063,4.340905389
2008,-83.76954889,32.91092341,27998,2.076698077,4.33704702
2009,-84.02226615,32.37655808,32848,2.209904983,3.367169734
2010,-84.10190337,33.33584423,38746,2.16654604,4.066614415
2011,-84.00359756,32.47488256,40683,2.202007886,3.405978333
2012,-85.13232004,35.7220375,55827,2.921935768,5.525008917
2013,-85.37400424,35.44888721,46194,3.092916146,4.984864086
