"count_yr","lon","lat","sum_count","wstdev_long","wstdev_lat"
"1961","-82.27132664408","28.6066723806517","225","0.776297019829884","1.26736620653722"
"1962","-82.118887257576","28.5976480901241","321","0.954589908756409","1.51889244309003"
"1963","-83.1646208562771","29.08554141261","120","1.6337951650639","1.62366343770686"
"1964","-82.4547570546468","28.7537989351485","433","1.56084144613133","1.44248386466195"
"1965","-81.6262578738244","27.9981557113864","212","0.965136977498286","1.56375397143215"
"1966","-81.8916262099322","28.2813934595445","426","0.932134958836522","1.31247643532813"
"1967","-81.8592448875086","28.5286639163743","537","0.931511771924999","1.31349214395887"
"1968","-81.7173901726218","27.3884124410638","222","1.03532859205784","0.857412667874801"
"1969","-82.1777700015477","28.1873543432781","225","1.92865768058775","2.27732788281825"
"1970","-82.0635272102673","29.0294090466486","723","0.804827250914186","1.19124652808273"
"1971","-82.1902789172708","29.0759115249012","958","0.545770302463377","1.18624849215718"
"1972","-82.1433974899985","29.1687895538366","860","0.60005168962162","0.990304486171123"
"1973","-82.2775242922929","29.2811864354928","1016","0.458839337457269","1.06657616080419"
"1974","-82.3664347454483","29.414431346884","1234","0.854802398949174","0.969629321098344"
"1975","-81.9704662230195","28.9808366900064","782","1.36860394470476","1.22719854834661"
"1976","-81.9174117289916","28.9504717485275","914","0.902113328308534","1.01680476103993"
"1977","-82.0791044796214","29.0962491723943","1123","1.46349740787031","1.15342033790862"
"1978","-82.1603944600835","28.7245165172376","989","1.52979741202458","1.04583118331837"
"1979","-81.9291253628737","28.7234652717377","824","1.09551362770411","0.941604355598632"
"1980","-81.7210199415684","28.8501908764243","1281","1.02870382556339","0.961118428769157"
"1981","-81.9189139792005","28.8454996005044","955","0.871675995127795","1.15225915451977"
"1982","-82.2874593699251","29.256035215103","1882","0.733881272261925","0.800660367631362"
"1983","-81.8939318026301","28.5582491763322","1294","0.878136388682003","1.05227012773758"
"1984","-82.2082785347975","29.588320027593","2267","1.41872911847092","2.13733728145718"
"1985","-82.2764468209328","29.3169441686962","2345","1.20961739806483","1.64207027349101"
"1986","-82.2112893470149","29.0312929980042","2320","1.11353204156408","1.267362509337"
"1987","-82.2623762923842","29.3967599360004","2644","1.15670650189285","1.62981154504681"
"1988","-82.1290104725697","29.286640326182","3997","1.1980881368159","2.00593638447566"
"1989","-82.1238696692316","29.0050665024584","3013","1.20387752436182","1.83797505580062"
"1990","-82.2735738257206","29.3602410453257","4951","1.17336677552528","1.98214878138095"
"1991","-82.4231880951826","29.7840539557072","4246","1.43988681003274","3.11569247847674"
"1992","-82.6259904152909","30.4602945649203","8949","1.2763396658677","2.77513769086451"
"1993","-82.3580575495973","29.7123848653773","7869","1.24054173196851","2.71206877790333"
"1994","-82.4822111369273","29.7580590128352","9159","1.38807327369161","2.42010287356014"
"1995","-83.6645998048947","32.6632824877933","10724","1.70029364174917","3.95779400300716"
"1996","-83.5190476764845","32.2132731990539","9642","1.75461052375171","3.56657188241475"
"1997","-83.1879099068122","31.4825407367571","13793","1.78082619669587","4.02389939841473"
"1998","-83.4891830637341","32.3028490153097","13441","1.66462095639169","3.6019587587796"
"1999","-85.2812301149613","36.5288326098327","19964","2.56805893102504","5.56107062842697"
"2000","-84.6076161591204","34.352056449923","22765","2.70679038656166","5.19013432094012"
"2001","-83.3202989032446","31.526105144464","23233","1.95546931041296","3.39857185786594"
"2002","-84.2933224042477","34.5996231858079","21646","1.64853637060537","4.00243082384065"
"2003","-84.0752194855882","32.8950477381883","24405","2.17901679329994","3.38839849927979"
"2004","-84.5096767551208","34.1963890990696","37914","2.07118202358423","3.97745166043563"
"2005","-84.2750591049598","33.9521409142522","34178","2.09573600421874","4.35992452271291"
"2006","-84.4080998325429","33.3613941559298","34260","2.14361224094515","3.17988174064905"
"2007","-84.0285472721617","33.3076084095758","27404","2.34850398095818","4.78047789283883"
"2008","-83.7750754708089","32.9115944529327","27998","2.07928200601865","4.33787023397655"
"2009","-84.0306427159428","32.3796260482325","32849","2.2121448542471","3.36676466347613"
"2010","-84.1098722700618","33.3391509647661","38748","2.16846648974222","4.06768559137258"
"2011","-84.0085775992388","32.4714091457854","40734","2.20336536776834","3.40587196221519"
"2012","-85.1322148749001","35.7126503695206","56018","2.91880284237371","5.52179110356319"
"2013","-85.3736831498237","35.4504650774358","46289","3.09090708455471","4.98564834102304"
"2014","-84.8971408341676","33.4390716436356","45399","2.84337640027002","3.94760855835871"
"2015","-85.6743921349191","34.7027517174688","56134","2.86521137589684","4.1822687617418"
"2016","-86.2833197571008","37.9841508035144","71313","3.07019053663595","5.01484241854907"
"2017","-84.9539523596844","35.2406350774904","92460","2.20522011195149","3.80095989462021"
"2018","-84.8961578158293","34.9948040957949","64771","2.33559981289568","4.03333009099105"
